i
pi
bi
ti
di
ki
gi
mi
ni
ŋi
ksi
tʃi
ɸi
si
zi
ʃi
hi
ɾi
ɸni
sɾi
ʃmi
ʃɾi
kɾi
ib
id
ig
im
in
iŋ
is
iɾ
isɾ
iɾb
iɾm
iɾt
iɾg
ibs
pib
pid
pig
pim
pin
piŋ
pis
piɾ
pisɾ
piɾb
piɾm
piɾt
piɾg
pibs
bib
bid
big
bim
bin
biŋ
bis
biɾ
bisɾ
biɾb
biɾm
biɾt
biɾg
bibs
tib
tid
tig
tim
tin
tiŋ
tis
tiɾ
tisɾ
tiɾb
tiɾm
tiɾt
tiɾg
tibs
dib
did
dig
dim
din
diŋ
dis
diɾ
disɾ
diɾb
diɾm
diɾt
diɾg
dibs
kib
kid
kig
kim
kin
kiŋ
kis
kiɾ
kisɾ
kiɾb
kiɾm
kiɾt
kiɾg
kibs
gib
gid
gig
gim
gin
giŋ
gis
giɾ
gisɾ
giɾb
giɾm
giɾt
giɾg
gibs
mib
mid
mig
mim
min
miŋ
mis
miɾ
misɾ
miɾb
miɾm
miɾt
miɾg
mibs
nib
nid
nig
nim
nin
niŋ
nis
niɾ
nisɾ
niɾb
niɾm
niɾt
niɾg
nibs
ŋib
ŋid
ŋig
ŋim
ŋin
ŋiŋ
ŋis
ŋiɾ
ŋisɾ
ŋiɾb
ŋiɾm
ŋiɾt
ŋiɾg
ŋibs
ksib
ksid
ksig
ksim
ksin
ksiŋ
ksis
ksiɾ
ksisɾ
ksiɾb
ksiɾm
ksiɾt
ksiɾg
ksibs
tʃib
tʃid
tʃig
tʃim
tʃin
tʃiŋ
tʃis
tʃiɾ
tʃisɾ
tʃiɾb
tʃiɾm
tʃiɾt
tʃiɾg
tʃibs
ɸib
ɸid
ɸig
ɸim
ɸin
ɸiŋ
ɸis
ɸiɾ
ɸisɾ
ɸiɾb
ɸiɾm
ɸiɾt
ɸiɾg
ɸibs
sib
sid
sig
sim
sin
siŋ
sis
siɾ
sisɾ
siɾb
siɾm
siɾt
siɾg
sibs
zib
zid
zig
zim
zin
ziŋ
zis
ziɾ
zisɾ
ziɾb
ziɾm
ziɾt
ziɾg
zibs
ʃib
ʃid
ʃig
ʃim
ʃin
ʃiŋ
ʃis
ʃiɾ
ʃisɾ
ʃiɾb
ʃiɾm
ʃiɾt
ʃiɾg
ʃibs
hib
hid
hig
him
hin
hiŋ
his
hiɾ
hisɾ
hiɾb
hiɾm
hiɾt
hiɾg
hibs
ɾib
ɾid
ɾig
ɾim
ɾin
ɾiŋ
ɾis
ɾiɾ
ɾisɾ
ɾiɾb
ɾiɾm
ɾiɾt
ɾiɾg
ɾibs
ɸnib
ɸnid
ɸnig
ɸnim
ɸnin
ɸniŋ
ɸnis
ɸniɾ
ɸnisɾ
ɸniɾb
ɸniɾm
ɸniɾt
ɸniɾg
ɸnibs
sɾib
sɾid
sɾig
sɾim
sɾin
sɾiŋ
sɾis
sɾiɾ
sɾisɾ
sɾiɾb
sɾiɾm
sɾiɾt
sɾiɾg
sɾibs
ʃmib
ʃmid
ʃmig
ʃmim
ʃmin
ʃmiŋ
ʃmis
ʃmiɾ
ʃmisɾ
ʃmiɾb
ʃmiɾm
ʃmiɾt
ʃmiɾg
ʃmibs
ʃɾib
ʃɾid
ʃɾig
ʃɾim
ʃɾin
ʃɾiŋ
ʃɾis
ʃɾiɾ
ʃɾisɾ
ʃɾiɾb
ʃɾiɾm
ʃɾiɾt
ʃɾiɾg
ʃɾibs
kɾib
kɾid
kɾig
kɾim
kɾin
kɾiŋ
kɾis
kɾiɾ
kɾisɾ
kɾiɾb
kɾiɾm
kɾiɾt
kɾiɾg
kɾibs
ɨ
pɨ
bɨ
tɨ
dɨ
kɨ
gɨ
mɨ
nɨ
ŋɨ
ksɨ
tʃɨ
ɸɨ
sɨ
zɨ
ʃɨ
hɨ
ɾɨ
ɸnɨ
sɾɨ
ʃmɨ
ʃɾɨ
kɾɨ
ɨb
ɨd
ɨg
ɨm
ɨn
ɨŋ
ɨs
ɨɾ
ɨsɾ
ɨɾb
ɨɾm
ɨɾt
ɨɾg
ɨbs
pɨb
pɨd
pɨg
pɨm
pɨn
pɨŋ
pɨs
pɨɾ
pɨsɾ
pɨɾb
pɨɾm
pɨɾt
pɨɾg
pɨbs
bɨb
bɨd
bɨg
bɨm
bɨn
bɨŋ
bɨs
bɨɾ
bɨsɾ
bɨɾb
bɨɾm
bɨɾt
bɨɾg
bɨbs
tɨb
tɨd
tɨg
tɨm
tɨn
tɨŋ
tɨs
tɨɾ
tɨsɾ
tɨɾb
tɨɾm
tɨɾt
tɨɾg
tɨbs
dɨb
dɨd
dɨg
dɨm
dɨn
dɨŋ
dɨs
dɨɾ
dɨsɾ
dɨɾb
dɨɾm
dɨɾt
dɨɾg
dɨbs
kɨb
kɨd
kɨg
kɨm
kɨn
kɨŋ
kɨs
kɨɾ
kɨsɾ
kɨɾb
kɨɾm
kɨɾt
kɨɾg
kɨbs
gɨb
gɨd
gɨg
gɨm
gɨn
gɨŋ
gɨs
gɨɾ
gɨsɾ
gɨɾb
gɨɾm
gɨɾt
gɨɾg
gɨbs
mɨb
mɨd
mɨg
mɨm
mɨn
mɨŋ
mɨs
mɨɾ
mɨsɾ
mɨɾb
mɨɾm
mɨɾt
mɨɾg
mɨbs
nɨb
nɨd
nɨg
nɨm
nɨn
nɨŋ
nɨs
nɨɾ
nɨsɾ
nɨɾb
nɨɾm
nɨɾt
nɨɾg
nɨbs
ŋɨb
ŋɨd
ŋɨg
ŋɨm
ŋɨn
ŋɨŋ
ŋɨs
ŋɨɾ
ŋɨsɾ
ŋɨɾb
ŋɨɾm
ŋɨɾt
ŋɨɾg
ŋɨbs
ksɨb
ksɨd
ksɨg
ksɨm
ksɨn
ksɨŋ
ksɨs
ksɨɾ
ksɨsɾ
ksɨɾb
ksɨɾm
ksɨɾt
ksɨɾg
ksɨbs
tʃɨb
tʃɨd
tʃɨg
tʃɨm
tʃɨn
tʃɨŋ
tʃɨs
tʃɨɾ
tʃɨsɾ
tʃɨɾb
tʃɨɾm
tʃɨɾt
tʃɨɾg
tʃɨbs
ɸɨb
ɸɨd
ɸɨg
ɸɨm
ɸɨn
ɸɨŋ
ɸɨs
ɸɨɾ
ɸɨsɾ
ɸɨɾb
ɸɨɾm
ɸɨɾt
ɸɨɾg
ɸɨbs
sɨb
sɨd
sɨg
sɨm
sɨn
sɨŋ
sɨs
sɨɾ
sɨsɾ
sɨɾb
sɨɾm
sɨɾt
sɨɾg
sɨbs
zɨb
zɨd
zɨg
zɨm
zɨn
zɨŋ
zɨs
zɨɾ
zɨsɾ
zɨɾb
zɨɾm
zɨɾt
zɨɾg
zɨbs
ʃɨb
ʃɨd
ʃɨg
ʃɨm
ʃɨn
ʃɨŋ
ʃɨs
ʃɨɾ
ʃɨsɾ
ʃɨɾb
ʃɨɾm
ʃɨɾt
ʃɨɾg
ʃɨbs
hɨb
hɨd
hɨg
hɨm
hɨn
hɨŋ
hɨs
hɨɾ
hɨsɾ
hɨɾb
hɨɾm
hɨɾt
hɨɾg
hɨbs
ɾɨb
ɾɨd
ɾɨg
ɾɨm
ɾɨn
ɾɨŋ
ɾɨs
ɾɨɾ
ɾɨsɾ
ɾɨɾb
ɾɨɾm
ɾɨɾt
ɾɨɾg
ɾɨbs
ɸnɨb
ɸnɨd
ɸnɨg
ɸnɨm
ɸnɨn
ɸnɨŋ
ɸnɨs
ɸnɨɾ
ɸnɨsɾ
ɸnɨɾb
